User_id,Year,Month,Tweet_count,Hashtag_count,Percent_mobile,Retweet_count,Location_sharing_count,Quote_count,Percent_tweets
237348797,2020,6,9,7,1.0,738.0,0,0,0.0044598612487611496
237348797,2020,7,14,4,1.0,12350.0,0,1,0.006937561942517344
237348797,2020,8,27,8,1.0,8593.0,0,2,0.013379583746283449
237348797,2020,9,8,5,1.0,4842.0,0,0,0.003964321110009911
237348797,2020,10,10,3,1.0,960.0,0,0,0.004955401387512388
237348797,2020,11,5,5,1.0,457.0,0,0,0.002477700693756194
237348797,2020,12,4,2,1.0,243.0,0,1,0.0019821605550049554
238126312,2019,6,8,7,1.0,3262.0,0,1,0.0028530670470756064
238126312,2019,7,11,5,1.0,4926.0,0,1,0.0039229671897289585
238126312,2019,8,10,5,1.0,21662.0,0,0,0.003566333808844508
238126312,2019,9,7,5,1.0,16832.0,0,1,0.0024964336661911554
238126312,2019,10,3,0,1.0,12499.0,0,0,0.0010699001426533524
238126312,2019,11,3,0,1.0,4775.0,0,0,0.0010699001426533524
238126312,2019,12,6,1,1.0,18676.0,0,0,0.0021398002853067048
238126312,2020,1,4,3,1.0,38851.0,0,1,0.0014265335235378032
238126312,2020,2,8,4,1.0,28431.0,0,2,0.0028530670470756064
238126312,2020,3,1,0,1.0,7327.0,0,0,0.0003566333808844508
238126312,2020,4,3,0,1.0,6846.0,0,0,0.0010699001426533524
238126312,2020,5,1,0,1.0,1013.0,0,1,0.0003566333808844508
238126312,2020,6,2,0,1.0,8499.0,0,0,0.0007132667617689016
238126312,2020,7,2,0,1.0,11821.0,0,0,0.0007132667617689016
238126312,2020,8,6,1,1.0,12855.0,0,1,0.0021398002853067048
238126312,2020,9,3,0,1.0,7238.0,0,0,0.0010699001426533524
238126312,2020,10,5,2,1.0,5638.0,0,0,0.001783166904422254
241174677,2020,6,174,10,1.0,1971729.0,0,35,0.09747899159663866
241964676,2015,10,195,2,0.9282051282051282,2007.0,0,2,0.007420373682408006
243632347,2011,1,1,0,1.0,0.0,0,0,0.047619047619047616
243827971,2018,9,2,1,1.0,331.0,0,0,0.0005383580080753701
243827971,2019,3,1,3,1.0,29.0,0,0,0.00026917900403768504
243827971,2019,5,2,3,1.0,35.0,0,0,0.0005383580080753701
243827971,2019,6,2,3,1.0,68.0,0,0,0.0005383580080753701
243827971,2020,2,1,0,1.0,86.0,0,0,0.00026917900403768504
248817681,2020,11,149,0,1.0,151602.0,0,13,0.0053765380868184606
248817681,2020,12,44,5,1.0,37934.0,0,5,0.0015877025222819615
250443610,2011,2,1,1,0.0,0.0,0,0,0.009900990099009901
250443610,2011,9,31,5,0.03225806451612903,1.0,0,0,0.3069306930693069
250443610,2011,10,2,0,0.5,0.0,0,0,0.019801980198019802
250443610,2012,2,1,0,0.0,0.0,0,0,0.009900990099009901
250443610,2012,3,12,2,0.0,3.0,0,0,0.1188118811881188
250443610,2012,4,19,4,0.42105263157894735,1.0,0,0,0.18811881188118812
250443610,2012,6,4,0,1.0,0.0,0,0,0.039603960396039604
250443610,2012,8,12,0,1.0,0.0,0,0,0.1188118811881188
250443610,2012,9,1,0,0.0,0.0,0,0,0.009900990099009901
250443610,2013,4,2,0,1.0,0.0,0,0,0.019801980198019802
252882791,2020,3,7,1,0.8571428571428571,5031.0,0,0,0.0012031625988312134
252882791,2020,4,42,9,0.9761904761904762,13129.0,0,0,0.007218975592987281
252882791,2020,5,12,1,1.0,3608.0,0,0,0.002062564455139223
252882791,2020,6,23,5,1.0,28699.0,0,1,0.0039532485390168445
252882791,2020,7,18,0,1.0,8303.0,0,0,0.0030938466827088347
252882791,2020,8,13,0,1.0,14251.0,0,1,0.002234444826400825
252882791,2020,9,27,7,1.0,22514.0,0,1,0.004640770024063252
252882791,2020,10,27,2,1.0,3942.0,0,0,0.004640770024063252
252882791,2020,11,21,9,1.0,3935.0,0,0,0.0036094877964936403
252882791,2020,12,4,5,1.0,291.0,0,0,0.0006875214850464077
254542744,2020,9,7,0,1.0,11074.0,0,2,9.24898261191269e-05
254542744,2020,10,4,0,1.0,50232.0,0,0,5.2851329210929655e-05
254542744,2020,11,1,0,1.0,44342.0,0,0,1.3212832302732414e-05
258819978,2011,3,2,0,0.0,0.0,0,0,0.05263157894736842
258819978,2011,4,1,0,0.0,2.0,0,0,0.02631578947368421
258819978,2011,5,9,0,0.0,0.0,0,0,0.23684210526315788
258819978,2011,6,1,0,0.0,1.0,0,0,0.02631578947368421
262602714,2020,11,183,47,1.0,8133.0,0,26,0.0024786336362774444
262645651,2011,3,1,0,0.0,0.0,0,0,0.038461538461538464
262645651,2013,12,2,0,1.0,0.0,0,0,0.07692307692307693
263006472,2014,8,4,0,0.0,17.0,0,0,0.0023952095808383233
263006472,2014,9,26,2,0.6538461538461539,88.0,0,0,0.015568862275449102
263006472,2014,10,1,0,0.0,18.0,0,0,0.0005988023952095808
263006472,2014,11,4,1,0.25,74.0,0,0,0.0023952095808383233
263006472,2014,12,2,0,1.0,7.0,0,0,0.0011976047904191617
263006472,2015,1,6,8,0.5,59.0,0,0,0.003592814371257485
263006472,2015,2,4,0,1.0,13.0,0,0,0.0023952095808383233
263006472,2015,3,34,6,0.9411764705882353,74.0,0,0,0.02035928143712575
263006472,2015,4,4,4,1.0,21.0,0,0,0.0023952095808383233
263006472,2015,5,19,34,0.9473684210526315,103.0,0,0,0.011377245508982036
263006472,2015,6,4,0,0.5,34.0,0,0,0.0023952095808383233
263006472,2015,7,3,1,1.0,8.0,0,0,0.0017964071856287425
263006472,2015,8,4,0,0.75,15.0,0,0,0.0023952095808383233
263006472,2015,9,4,11,1.0,5.0,0,0,0.0023952095808383233
263006472,2015,10,7,4,0.8571428571428571,10.0,0,0,0.004191616766467066
263006472,2015,11,1,0,0.0,2.0,0,0,0.0005988023952095808
263006472,2015,12,1,1,1.0,1.0,0,0,0.0005988023952095808
263006472,2016,1,4,2,1.0,0.0,0,0,0.0023952095808383233
263006472,2016,4,1,6,1.0,1.0,0,0,0.0005988023952095808
263006472,2016,5,1,0,1.0,1.0,0,0,0.0005988023952095808
263006472,2016,6,3,1,0.6666666666666666,0.0,0,0,0.0017964071856287425
263006472,2016,12,9,0,1.0,4.0,0,1,0.005389221556886228
263006472,2017,1,1,0,1.0,2.0,0,0,0.0005988023952095808
263006472,2017,4,1,8,1.0,0.0,0,0,0.0005988023952095808
263006472,2017,6,1,1,1.0,0.0,0,0,0.0005988023952095808
263006472,2017,10,1,2,1.0,2.0,0,0,0.0005988023952095808
263006472,2017,12,1,1,1.0,42766.0,0,0,0.0005988023952095808
263006472,2018,1,3,0,1.0,0.0,0,0,0.0017964071856287425
263006472,2018,8,1,0,1.0,0.0,0,0,0.0005988023952095808
263006472,2018,10,1,0,1.0,0.0,0,0,0.0005988023952095808
263006472,2018,11,1,0,1.0,0.0,0,0,0.0005988023952095808
263252565,2020,6,1,0,1.0,17.0,0,0,4.373496610540127e-05
265945808,2020,5,1,0,1.0,14.0,0,0,8.081461128171973e-05
268191607,2011,3,1,0,1.0,0.0,0,0,1.0
268361752,2020,6,6,2,1.0,14.0,0,5,5.078419257365824e-05
272652150,2013,6,25,13,0.84,18128.0,0,0,0.013982102908277404
272652150,2013,7,65,37,0.9230769230769231,62557.0,0,0,0.036353467561521254
272652150,2013,8,4,1,1.0,241.0,0,0,0.0022371364653243847
272652150,2013,9,5,2,1.0,746.0,0,0,0.002796420581655481
272652150,2013,10,13,3,1.0,2406.0,0,0,0.00727069351230425
272652150,2013,11,17,9,1.0,3581.0,0,0,0.009507829977628635
272652150,2013,12,2,0,1.0,0.0,0,0,0.0011185682326621924
272652150,2014,10,2,0,1.0,0.0,0,0,0.0011185682326621924
272652150,2014,12,1,0,1.0,0.0,0,0,0.0005592841163310962
272652150,2015,1,4,0,1.0,0.0,0,0,0.0022371364653243847
272652150,2015,2,1,0,1.0,0.0,0,0,0.0005592841163310962
272652150,2015,3,1,0,1.0,0.0,0,0,0.0005592841163310962
272652150,2015,6,1,0,1.0,0.0,0,0,0.0005592841163310962
272652150,2015,11,1,0,1.0,0.0,0,0,0.0005592841163310962
272652150,2016,1,1,0,1.0,0.0,0,0,0.0005592841163310962
272652150,2016,3,1,0,1.0,0.0,0,0,0.0005592841163310962
272652150,2016,8,1,0,1.0,0.0,0,0,0.0005592841163310962
272652150,2016,10,1,0,1.0,0.0,0,0,0.0005592841163310962
272652150,2016,12,1,0,1.0,0.0,0,0,0.0005592841163310962
272652150,2017,1,1,0,1.0,0.0,0,0,0.0005592841163310962
272652150,2017,12,1,0,1.0,0.0,0,0,0.0005592841163310962
272652150,2018,4,1,0,1.0,0.0,0,0,0.0005592841163310962
272652150,2018,5,2,0,1.0,0.0,0,0,0.0011185682326621924
272652150,2018,6,3,0,1.0,0.0,0,0,0.0016778523489932886
272652150,2018,7,1,0,1.0,0.0,0,0,0.0005592841163310962
272652150,2018,8,1,0,1.0,0.0,0,0,0.0005592841163310962
272652150,2018,11,3,0,1.0,0.0,0,0,0.0016778523489932886
272652150,2019,3,1,0,1.0,0.0,0,0,0.0005592841163310962
